Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Extracted_Entities
CLUTCH SYS TANK AND PUMP,BREAK,KIT-HYDRAULIC CYL,1.0,74.4044,"TEMPERATURE  vehicle does not shift into gear. FROM WHERE  During the checks, there was oil from the clutch centre's press area. 
It was determined that the car was missing and the vehicle did not shift into gear. PROCEDURE  vehicle's clutch center has been changed","[('TEMPERATURE', 'ORG'), (""the clutch centre's"", 'ORG')]"
CAB REARVIEW MIRROR,DEFECT,REAR MIRROR RIGHT,1.0,243.08311,"COMPLAIN  right wing mirror folds in while driving  CAUSE pivot joint in mirror base defective and therefore cannot hold mirrors when there 
comes wind resistance CORRECTION  side mirror ext","[('CAUSE', 'ORG'), ('CORRECTION', 'PERSON')]"
RADIATOR SLEEVES,INTERFERENCE,WATER HOSE,4.0,164.476743,"COMPLAINT loosing water CAUSE traced to bottom rad hose , chaffed and leaking CORRECTION fit new rad hose refill with coolant antifreeze secure hose and run up 
and check for leaks all ok","[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG'), ('rad hose', 'PERSON'), ('CORRECTION', 'ORG'), ('hose', 'PERSON')]"
RADIATOR,BREAK,WATER RADIATOR,2.0,388.054738,"COMPLAINT  Loss of fluid in the radiator  CPRZ SEALING WATER CHANGE AND P
KNIETY COOLER HOSE KORECTA  REPLACEMENT OF THE COIL AND CABLE WITH NEW ones","[('COMPLAINT  Loss', 'ORG'), ('HOSE KORECTA  REPLACEMENT', 'PERSON')]"
CONTROL UNIT GUARD,LOOSE RETAINER,PLUG,1.0,11.17, REKL  Cap for radar rattles   REASON Fasteners do not hold firmly   CORRECTION  Radar cap renewed,"[('Cap', 'PERSON'), ('CORRECTION', 'PERSON'), ('Radar', 'PRODUCT')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,HOOD WIRING,0.0,244.252874,COMPLAINT RECOVERY CAUSE RECOVERY CORRECTION RECOVERY,"[('COMPLAINT', 'ORG')]"
BEARINGS,NOISE,WHEEL BEARINGS,9.0,1479.54," REKL  CHECK FRONT AXLE NOISE   REASON NOISE CHECK FRONT AXLE: FRONT AXLE WHEEL BEARING DEFECTIVE   CORRECTION  NOISE CHECK FRONT AXLE: FRONT AXLE WHEEL BEARING DEFECTIVE. DAMAGE ASSESSMENT DETERMINED, WHEEL BEARING A/E AND REPLACED. NOTE: WHEN THE LEFT WHEEL BEARING IS PRESSED, THE STEERING KNUCKLE WILL BE BROKEN","[('FRONT AXLE', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE'), ('NOISE', 'TYPE_OF_FAILURE'), ('CORRECTION', 'PERSON'), ('NOISE', 'TYPE_OF_FAILURE')]"
DOOR CONN. FIXED PART,SHORT CIRCUIT,SLIDING CONTACT,2.0,76.798658, COMPLAINT  SIDE DOOR OPEN MESSAGE   CPRZ PUNCTURE IN THE SLIDING DOOR CONNECTOR INSTALLATION   CORRECTION  REPLACEMENT OF SLIDING DOOR CONTACTORS,"[('COMPLAINT', 'ORG')]"
NOX DETECTION SENSOR,LOW OUTPUT/EFFICIENCY,NOX SENSOR,1.0,308.28,"REKL  Engine malfunction light active  REASON NOX sensor in front of catalytic converter defective  CORRECTION  Electrical system checked, sensor replaced","[('REKL  Engine', 'ORG'), ('NOX', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION  Electrical', 'ORG'), ('sensor', 'DEFECTIVE_PART')]"
ANS 24 HOURS,MISCELLANEOUS,ECU-AIR BAG,50.0,444.71154,"INCIDENT  CUSTOMER CENTER 8001877290 DEP IN CHERMIGNON BUS DEP 
SION CHERMIGNON RETURN 53 KM AT CHF 1.50/KM + TIME 
MOVEMENT OF THE MECHANIC CAUSE  CLIENTCENTER 8001877290 DEP IN CHERMIGNON BUS DEP 
SION CHERMIGNON RETURN 53 KM AT CHF 1.50/KM + TIME 
MOVEMENT OF THE MECHANIC SOLUTION  CUSTOMER CENTER 8001877290 DEP IN CHERMIGNON BUS DEP 
SION CHERMIGNON RETURN 53 KM AT CHF 1.50/KM + TIME 
MECHANIC’S MOVEMENT","[('8001877290', 'CARDINAL'), ('53', 'CARDINAL'), ('53', 'CARDINAL'), ('8001877290', 'CARDINAL'), ('53', 'CARDINAL')]"
LEAF SPRINGS REAR AXLE,"CONTROL,VERIFICATION",LEAF SPRING,0.0,313.48,"REKL  Vehicle - inclined position HA  REASON Check rear springs  CORRECTION  Rear springs and rear spring brackets A-E, realigned, 
-500110WTR - Heart bolt modified and converted into an eccentric","[('CORRECTION  Rear', 'ORG')]"
LOCK,BLOCKAGE,DOOR LOCK,1.0,67.839999, COMPLAINT  Problem with closing sliding doors   CPRZ The upper sliding door lock mechanism is blocked   CORRECTION  Replacement of the above-mentioned lock,"[('COMPLAINT  Problem', 'ORG'), ('CORRECTION  Replacement', 'ORG')]"
TACHOGRAPH SENDER,SHORT CIRCUIT,KITAS SENSOR,2.0,381.05,"REKL  Engine error  REASON electrical error tachograph generator  CORRECTION Error memory read out, error 000657-13, Kitas encoder replaced and new 
Speedometer test carried out","[('REKL  Engine', 'ORG'), ('CORRECTION Error', 'ORG'), ('000657-13', 'DATE'), ('Kitas', 'ORG')]"
STARTER MOTOR ASSY,SHORT CIRCUIT,STARTER MOTOR,1.0,212.9,COMPLAINT Difficulty starting the engine. CAUSE motor short circuit. CORRECTION replace new.,"[('COMPLAINT Difficulty', 'ORG'), ('CAUSE motor', 'ORG')]"
CHASSIS LOOM,UPDATE ENGINE ECU MS6.3,FRAME WIRING,0.0,28.196868, COMPLAINT  UK STEERING AUDIENCE MESSAGE   CPRZ NO STEERING WHEEL MODULE UPDATE   CORRECTION  STEERING WHEEL MODULE UPDATE,"[('COMPLAINT', 'ORG'), ('UK', 'GPE')]"
HOOD ASSEMBLY,UNEVEN PAINT,HOOD,1.0,104.362417, COMPLAINT  Paint bubbles on the hood of the vehicle   CPRZ Incorrectly painted vehicle hood   CORRECTION  Paint repair of the vehicle's hood,"[('COMPLAINT', 'ORG')]"
DIFFERENTIAL LOCK,DEFECT,GASKET,1.0,43.927928,REKL  Oil loss Differential lock  REASON Gasket on barrier leaking  CORRECTION  Replace gasket,"[('REKL  Oil', 'ORG'), ('CORRECTION  Replace', 'ORG')]"
IGNITION COIL,SHORT CIRCUIT,IGNITION COIL,11.0,642.75,"DAMAGE TYPE  ENGINE FAILURE ON DTC 07E052-00 CATALYST 
ALARM THRESHOLD EXCEEDED. CAUSE  dSPECIAL DEFECT. IGNITION COILS IN 
SHORT CIRCUIT WITH SPARK PLUG DAMAGE. SENSOR 
TEMP AND LAMBDA SENSORS OUT OF RESISTANCE RANGE 
(SHORT CIRCUIT) CORRECTION  REPLACEMENT OF THE COILS AND SPARK PLUG ASSEMBLY. SENSOR 
CATALYST TEMPERATURE AND LAMBDA PROBES","[('DTC', 'ORG'), ('07E052', 'CARDINAL'), ('CAUSE', 'ORG'), ('DEFECT', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CIRCUIT', 'ORG'), ('CORRECTION', 'PERSON'), ('SPARK PLUG ASSEMBLY', 'ORG'), ('SENSOR', 'DEFECTIVE_PART')]"
GEARBOX INTERNAL CONTROLS,DEFORMED,GEAR SELECTOR,300.77,534.851752,"TEMPERATURE  The customer stated that the vehicle was in gear and the vehicle was not moving. FROM WHERE  If the vehicle was checked and it was found that it was not working, the transmission was put into the channel. 
When it was disassembled, it was seen that the pressure lining was intact. The transmission of the vehicle 
When dismantled and dismantled, the transmission fork studs will not be cut or deformed. 
It was seen to be. PROCEDURE  The transmission fork of the vehicle was completely replaced, the transmission was assembled as required. 
Checks were made and the fault was resolved. Transmission oil used is 383.59=250.77 
TL, cleaning material used to clean the lubricated area 
47.00 TL was entered as external labor.","[('383.59=250.77', 'CARDINAL'), ('material', 'CAUSE_OF_FAILURE'), ('47.00', 'CARDINAL'), ('TL', 'ORG')]"
TEMPERATURE SENSOR,SHORT CIRCUIT,SENSOR,1.0,264.33," CLAIM  ENGINE WARNING WARNING WITH REDUCED PERFORMANCES   CAUSE TEMPERATURE SENSOR BEFORE DPF SHORT CIRCUIT   SOLUTION  READING AND ANALYSIS OF FAULTS, TEMPERATURE SENSOR PREVIOUS TO THE DPF IS REPLACED. ROAD TEST IS CARRIED OUT","[('SENSOR', 'DEFECTIVE_PART'), ('DPF', 'ORG'), ('CIRCUIT', 'ORG'), ('ANALYSIS OF FAULTS', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('DPF', 'ORG')]"
NOX DETECTION SENSOR,SHORT CIRCUIT,SENSOR,3.0,248.62,DAMAGE TYPE  ENGINE FAILURE LIGHT ON CAUSE  FAULTY CONTACTS NOX SENSOR ERROR 000CA2-02  CORRECTION SUB. DOWNSTREAM NOX SENSOR,"[('SENSOR', 'DEFECTIVE_PART'), ('DOWNSTREAM NOX', 'PERSON'), ('SENSOR', 'DEFECTIVE_PART')]"
CAB LOOM,DEFECTIVE CONTACTS,CAB WIRING,0.0,147.9,"COMPLAINT  CAR HAS GEARBOX FAILURE. SWITCHES ON 
IT DOES DRIVE AWAY, BUT IT REMAINS THE SAME 
GEAR HANGERS. AND P/D/R IS THEN NO LONGER TOO 
DO NOT OPERATE ONLY WHEN YOU TURN OFF THE VEHICLE CAN CAUSE  IRREGULAR OPERATION  CORRECTION ERRORS READ, ONLY SAVED 
MALFUNCTIONS IN THE GEARBOX. A LITTLE DRIVEN, EVERYTHING 
OK. USING ERROR 07F0C0 CAN2 MET FAILURE 
GEAR, WIRING AND CONNETOR AT GEAR 
CONTROLLED. WIRING IS STUCK, 
WIRING REPAIRED AND FAULTS CLEARED. P ROEF RIDE 
DONE, EVERYTHING OK. DIAGNOSIS AUTOMATIC 
GEARBOX CONTROL UNITS TESTING AND 
CLEAR ERROR MEMORY AUTOMATIC DIAGNOSTICS E 
CHECK GEARBOX WIRING AND 
RESTORE","[('COMPLAINT', 'ORG'), ('CAR', 'ORG'), ('CORRECTION ERRORS READ', 'ORG'), ('FAILURE', 'PERSON'), ('GEARBOX CONTROL UNITS TESTING', 'ORG')]"
SENSOR,DEFECT,SENSOR,1.0,35.832214,"COMPLAINT  the message is on: ""abs/esp unavailable""  CPRZ damaged front left ABS sensor  CORRECTION  diagnostics, installation check, ABS sensor replacement","[('COMPLAINT', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART')]"
CLUTCH SYS TANK AND PUMP,DEFORMED,KIT-HYDRAULIC CYL,1.0,96.351231,"COMPLAINT  PRESSURE LEAKING, INTERNAL DEFECTIVE 
SEAL, CLUTCH REPLACEMENT CPRZ  PRESSURE LEAKING, INTERNAL DEFECTIVE 
SEAL, CLUTCH REPLACEMENT CORRECTION  PRESSURE LEAKING, INTERNAL DEFECTIVE 
SEALING, REPLACEMENT OF THE PRESSURE GEAR","[('COMPLAINT', 'ORG')]"
CAB LOOM,DEFECTIVE CONTACTS,SET OF WIRING,0.0,121.369126," COMPLAINT  HUMI ​​FM RADIO   CPRZ IMPROPER CONTACT IN THE MASS CONNECTION OF THE CAB HARNESS WITH THE RADIO ANTENNA FROM SIDE. VEHICLE INSTALLATION  CORRECTION  REMOVING EXCESS VARNISH, RESTORING THE CONNECTION","[('COMPLAINT', 'ORG'), ('INSTALLATION', 'ORG'), ('CONNECTION', 'ORG')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,112.384787,"COMPLAINT  engine light, no power  CPRZ short circuit in the adblue heater circuit  CORRECTION  diagnostics, heater replacement","[('COMPLAINT', 'ORG')]"
PIPES AD-BLUE,CRACKED,FILLER NECK,1.0,358.453488, COMPLAINT AD-BLUE LEAKING WHEN FILL AT PDI  CAUSE CHECKED AD-BLUE FILLER NECK CRACKED AND LEAKING  CORRECTION REPLACED AD-BLUE FILL NECK AND TEST ALL OK,"[('COMPLAINT AD-BLUE LEAKING', 'ORG'), ('PDI', 'ORG')]"
BATTERY,LOW OUTPUT/EFFICIENCY,BATTERY,0.0,49.0, DAMAGE TYPE  QADRO TURN ON - DOES NOT START   CAUSE 5801793720   CORRECTION 762010100 S-R 1 BATTERY 762010402 RECHARGE 1 BATTERY DISCONNECTED 762010424 TEST BATTERY/S WITH U.D.T. 769130404 EFFICIENCY CONTROL ELECTRICAL SYSTEM CONNECTION CONTACTS,"[('QADRO TURN ON - DOES NOT', 'ORG'), ('CAUSE', 'ORG'), ('1', 'CARDINAL'), ('762010424', 'DATE'), ('EFFICIENCY CONTROL ELECTRICAL', 'ORG')]"
CONNECTIONS,DEFECTIVE CONTACTS,SUPPORT,1.0,63.02," REKL  BAD START   BASIC GROUND PLATE OXIDIZED   CORRECTION  CHECK GROUND CONNECTIONS, REPLACE GROUND PLATE",[]
SIDE REPEATER LAMP,WATER INFILTRATION,DIRECTION LAMP,3.0,131.73,"COMPLAINT  INDICATORS IN MIRROR REPLACED L+R PHOTOS 
TO MAKE. CAUSE  WATER INFILTRATION CORRECTION  FLASHING LIGHTS IN THE MIRRORS ARE FULL 
CONDENSATION, THESE ARE LEAK, REPLACE THEM. ( SEE 
PHOTOS) 2 INDICATORS ON SIDES OF CABIN U-
I","[('COMPLAINT', 'ORG'), ('MIRROR', 'NORP'), ('2', 'CARDINAL')]"
PREHEATER PLUGS,SHORT CIRCUIT,HEATER PLUG,4.0,621.15,"REKL  Check engine light in the cluster / start/stop without function  REASON Glow plugs have incorrect resistance - short circuit  CORRECTION  Preparation UDT station
Diagnosis of engine EDC system
.
769110WTR=
Further work on the electrical system 30 work value
Check engine electrical system
Carry out a guided test in eTim
Check/measure cabling and plugs
Check/measure voltage supply
Engine - Check/measure CAN bus
Check terminating resistance
Check fuses and relays
Power supply to the
Check/measure glow plugs
All resistances of the glow plugs
check/measure
Test drive with actual value check according to Rep.
Carry out a leak check
.
Remove and install air filter group
Flap body/throttle valve
remove, install
Removing and installing a set of glow plugs
renew
Reset EDC control unit parameters
Diagnosis engine EDC system according to Rep.
Test the control units and delete the error memory","[('REKL  Check', 'ORG'), ('CORRECTION  Preparation UDT', 'ORG'), ('30', 'CARDINAL'), ('eTim', 'ORG'), ('Remove', 'PERSON'), ('Flap', 'ORG')]"
ANS 24H RECOVERY CHARGE,DEFECT,HYDRAULIC LINE,0.0,231.0,Goals  RESCUED FROM ALINGSÅS  Reason  RESCUED FROM ALINGSÅS  Change SAVED FROM ALINGSAU,[]
CAB REARVIEW MIRROR,DEFECT,REAR MIRROR LEFT,1.0,121.76,"COMPLAIN  nothing is visible in the left rearview mirror - it vibrates  CAUSE faulty steering wheel of the left rear-view mirror-vibrates   CORRECTION  checking and adjusting the mirror, DM of the left front rear mirror, 
replacement of the rear view mirror","[('CAUSE', 'ORG'), ('CORRECTION', 'PERSON'), ('DM', 'ORG')]"
AD-BLUE METERING DEV MODU,SHORT CIRCUIT,NOZZLE,1.0,138.41, DAMAGE TYPE  GOES INTO PROTECTION  CAUSE  ADBLUE INJECTOR FAILURE   CORRECTION REPLACEMENT,"[('CAUSE', 'ORG')]"
ANS 24 HOURS,MISCELLANEOUS,WATER PUMP,0.0,176.511628,COMPLAINT TRAVEL CAUSE TRAVEL CORRECTION TRAVEL,"[('COMPLAINT', 'ORG')]"
SLIDING DOOR WHEEL,BREAK,SUPPORT,1.0,43.4,"CLAIM  SIDE DOOR FAIL AND DOOR MARK OPEN  CAUSE SIDE DOOR LOWER ARM, BROKEN SPRING  SOLUTION REPLACE SIDE DOOR LOWER ARM","[('CAUSE', 'ORG')]"
PARTICULATE SENSOR,DEFECT,PM SENSOR,1.0,484.81,REKL  Soot particle filter cannot be regenerated  REASON Particle quantity sensor defective  CORRECTION  Particle quantity sensor replaced after testing,"[('REKL  Soot', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART')]"
HALF SHAFTS,BREAK,SIDE SHAFT,1.0,464.29, DAMAGE TYPE  ... ENGAGING GEARS DOES NOT SHIFT   CAUSE ... LEFT HALF-SHAFT BROKEN   CORRECTION  ... CHECK AND REPLACEMENT OF THE LEFT HALF-SHAFT AND EXTRACTION OF BROKEN PARTS,"[('CAUSE', 'ORG'), ('LEFT HALF-SHAFT BROKEN', 'ORG'), ('CORRECTION', 'PERSON')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,PISTON ASSY,0.0,915.8,REKL  VEHICLE TOWED FROM BREAKDOWN  REASON VEHICLE TOWED DUE TO BREAKDOWN  CORRECTION  VEHICLE TOWED AFTER BREAKDOWN,"[('BREAKDOWN', 'ORG'), ('BREAKDOWN', 'ORG'), ('BREAKDOWN', 'ORG')]"
NOX DETECTION SENSOR,DEFECTIVE CONTACTS,NOX SENSOR,1.0,269.91, COMPLAINT ENGINE AND INDUCEMENT LIGHT ON IC  CAUSE NOX SENSOR DEFECTIVE CONTACTS  CORRECTION REPLACE NOX SENSOR,"[('COMPLAINT ENGINE', 'ORG'), ('INDUCEMENT', 'NORP'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
STABILIZER FLEX SUPPORT,INCORRECT CLEARANCE,SILENTBLOCK,8.0,58.56,"COMPLAIN  rear axle bangs when driving over bumps  CAUSE faulty wheel of the rear stabilizer bushings  CORRECTION inspection of the rear axle, d-m rear stabilizer, revision 
stabilizer, replacement of stabilizer bushings","[('rear axle bangs', 'ORG'), ('CAUSE', 'ORG')]"
RADIATOR,DEFORMED,WATER RADIATOR,1.0,233.9648,"TEMPERATURE  The customer brought his vehicle for periodic maintenance. FROM WHERE  During the general checks made on the vehicle, it was determined that water was leaking from the radiator of the vehicle. 
It was seen that it was leaking from the honeycomb section of the vehicle's radiator.  It was determined that the vehicle's radiator core was leaking water, it was replaced and the fault was resolved.
THD reference no: 107520405","[('107520405', 'DATE')]"
SUSP.LOWER/TOP TIE-RODS,TOO LOOSE/FLEXIBLE,SILENTBLOCK,17.0,565.31991,COMPLAINT  FRONT SUSPENSION BUSHINGS  CPRZ PLAY ON LOWER WARM PINS  CORRECTION  REPLACEMENT OF SWING ARM PINS,"[('COMPLAINT', 'ORG'), ('CORRECTION  REPLACEMENT', 'GPE')]"
ELECTRONIC UNIT,DEFECT,KIT-ELECTR.UNIT,0.0,67.801608,"COMPLAIN  Illuminates for a fault on the electronic handbrake  CAUSE Handbrake must be calibrated  CORRECTION Readout and deletion of errors on the electronic handbrake
Calibration","[('COMPLAIN  Illuminates', 'ORG'), ('CORRECTION Readout', 'PERSON')]"
DOOR CONN. FIXED PART,DEFECT,SLIDING CONTACT,2.0,120.84," COMPLAINT  RIGHT SLIDING DOOR SHOWS DOOR OPEN MESSAGE ON DISPLAY OCCASIONALLY ON BAD ROAD SURFACE. PLEASE RESTORE DIAGNOSIS.  CAUSE  DEFECT   CORRECTION  CHECK DOOR, THE SLIDING DOOR CONTACTS ARE DEFECTIVE, REPLACE THEM. DOOR ADJUSTED AND MALFUNCTION HAS BEEN RESOLVED. LOCK SLIDING DOOR CTR U-I CONNECTION FIXED PART SLIDING DOOR U-I CONNECTION MOBILE PART BACK DOOR ADJUSTING DIAGNOSIS ON DOOR OPEN SIGNAL.","[('DOOR', 'ORG'), ('DOOR', 'ORG'), ('SIGNAL', 'ORG')]"
LOCKS,LOW OUTPUT/EFFICIENCY,DOOR LOCK,1.0,54.8944,"TEMPERATURE  sliding door gives open warning, door does not lock
 FROM WHERE  Inspections revealed that the middle door lock mechanism of the vehicle was defective.
It was determined that the door was always open without opening the lock bead. 
has been made. PROCEDURE  door lock was replaced and the problem was resolved.",[]
NOX DETECTION SENSOR,SHORT CIRCUIT,SENSOR,1.0,134.9456,"TEMPERATURE  WARNING LAMP IS ON WHY  INTERNAL NOX SENSOR IS DEFECTIVE AFTER SCR IN CHECKS 
IT WAS DETECTED AS. PROCEDURE  NOX SENSOR WAS CHANGED.","[('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
SLEEVES,LOOSE RETAINER,RUBBER SLEEVE,1.0,169.07, COMPLAINT  CHARGE AIR HOSE LOOSE   CAUSE  CHARGE AIR HOSE LOOSE   CORRECTION CHARGE AIR HOSE REPLACEMENT AND UNDER!!!!!!!!!!! SRR REPORT 107136692!!!!!!!!!!!!!,"[('COMPLAINT', 'ORG'), ('HOSE REPLACEMENT', 'PERSON'), ('SRR REPORT 107136692', 'ORG')]"
BRAKE CALIPER,BLOCKAGE,BRAKE SADDLE,2.0,409.88, REKL  CHECK REAR AXLE BRAKE   REASON CHECK REAR AXLE BRAKE: CALIPER DEFECTIVE/PARKING BRAKE   CORRECTION CHECK REAR AXLE BRAKE: CALIPER DEFECTIVE/PARKING BRAKE. DAMAGE FINDINGS ASSESSED AND DEFECTIVE BRAKE CALIPER REPLACED/BLEEDED,"[('BRAKE', 'ORG')]"
RADIATOR,DEFORMED,WATER RADIATOR,2.0,421.128421,COMPLAINT  COOLING FLUID LEAK  CPRZ DEFORMED WATER COOLER - BENT  CORRECTION  REPLACEMENT OF WATER COOLER,"[('COMPLAINT', 'ORG')]"
STARTER MOTOR ASSY,DEFECT,STARTER MOTOR,1.0,145.977628,COMPLAINT  HARD STARTS CPPR  FAILURE STARTER  CORRECTION REPLACING THE STARTER,"[('COMPLAINT', 'ORG')]"
ANS 24 HOURS,MISCELLANEOUS,CENTERING PIN,0.0,140.023256,COMPLAINT ATTEND KINGSGATE AYLESBURY CAUSE ATTEND KINGSGATE AYLESBURY CORRECTION ATTEND KINGSGATE AYLESBURY,"[('COMPLAINT', 'ORG'), ('ATTEND KINGSGATE', 'PERSON'), ('ATTEND KINGSGATE', 'PERSON'), ('AYLESBURY', 'ORG')]"
AUTOMATIC TRANSM.ASSY,INCORRECT PRESSURE,AUTOM.TRANSMISSION,1.0,-1320.0, COMPLAINT FAILUREDESCR  CAUSE CAUSEDESCR  CORRECTION CORRECTIONDESCR,"[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG')]"
SLEEVES,BREAK,RUBBER SLEEVE,1.0,269.835791," COMPLAINT  MILAGE LIGHT ON, NO POWER   CAUSE BROKEN BUSHING, UK AD INTERCOOLER   CORRECTION  REPLACEMENT OF BUSHINGS, UK AD INTERCOOLER","[('COMPLAINT', 'ORG'), ('UK', 'GPE'), ('UK', 'GPE')]"
PEDAL ASSEMBLY,DEFECT,PEDAL ASSY.,2.0,127.7," DAMAGE TYPE  BROKEN PEDAL AND SWITCH SUPPORT WITH SUBSEQUENT BRAKE LOCKING (SEE PHOTO)   CAUSE FAILURE OF THE SENSOR SUPPORT PLASTIC PART   CORRECTION  REPLACEMENT OF THE PEDAL BOARD AND BRAKE SENSOR (HOLES MADE IN THE NEW PEDAL BOARD FOR THE PASSAGE OF THE ELECTRIC CRANE CONTROL CABLES) PHOTOS, AND THEY WERE ALSO PRESENT IN THE FIRST SYSTEM","[('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART'), ('FIRST', 'ORDINAL')]"
CROWN WHEEL AND PINION,SEIZURE,BEVEL DRIVE,15.8,1234.439999,"COMPLAINT  THERE'S SOME NOISE WHILE DRIVING, IT SOUNDS LIKE IT'S UNDER THE CAR  CPRZ FAILURE INSPECTION. WORN FINAL GEAR TEETH. BAD 
COOPERATION CORRECTION  REPLACEMENT OF MAIN GEAR, BEARINGS","[('COMPLAINT', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE'), ('CAR', 'ORG'), ('BEARINGS', 'DEFECTIVE_COMPONENT')]"
INPUT SHAFT GASKET,BREAK,SHAFT SEAL,7.0,81.99,DAMAGE TYPE  GEARBOX OIL LEAK CAUSE  FRONT GEARBOX OIL SEAL BROKEN  CORRECTION REPLACEMENT. GEARBOX AND REPLACEMENT OIL SEAL OIL,[]
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,309.35,"COMPLAINT Inducement light is on. Reduced engine power. Creep mode is ON CAUSE Fault memory readed-> Ureasystem failure on error memory. Urea 
system tested-> ECM system checked-> Measured wire harness-> 
Urea pipe heater resistor faulty CORRECTION Renew ureapipe. Ureatest and","[('COMPLAINT', 'ORG'), ('ON CAUSE Fault', 'ORG'), ('CORRECTION Renew', 'PERSON')]"
RADIATOR,DEFECT,WATER RADIATOR,1.0,348.712832," COMPLAINT  COOLING RADIATOR CHECKED  CAUSES  COOLING RADIATOR DEFECTIVE, DEFORMED, THEY ARE NOT 
EXTERIOR DAMAGE TRACKS  CORRECTION  COOLING RADIATOR REPLACED","[('COMPLAINT  COOLING RADIATOR CHECKED  CAUSES  COOLING RADIATOR DEFECTIVE', 'ORG')]"
EXPANSION VALVE,DEFECT,HEATING TUBE,2.0,54.903157,"COMPLAINT  AIR CONDITIONING IS COOLING POORLY  CPRZ CHECK FOR LEAKS, LACK OF REFRIGERANT, LEAKAGE FROM 
LOW PRESSURE LINE VALVE CORRECTION  VALVE REPLACEMENT, REFRIGERANT REPLACEMENT","[('COMPLAINT', 'ORG')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,111.14,COMPLAIN  AD BlUE error lights up CAUSE  Diagnostics - short circuit of AD BLUE hose heating  CORRECTION Exchange,"[('COMPLAIN', 'ORG'), ('CAUSE  Diagnostics', 'ORG'), ('AD BLUE', 'PRODUCT'), ('CORRECTION Exchange', 'ORG')]"
PUMP DRIVE GASKET,DEFORMED,O-RING,1.0,106.951579, COMPLAINT  LEAKAGE FROM THE CR PUMP AREA   CPRZ DEFORMED HIGH PRESSURE PUMP O-RING   CORRECTION  REPLACEMENT OF THE HIGH PRESSURE PUMP O-RING,[]
CYLINDER BARRELS,INCORRECT CLEARANCE,CRANKCASE,10.0,10222.73,"COMPLAIN  engine clinking while driving - at idle you can hear a clatter from the space 
clutches CAUSE  INCORRECT CLEARANCE  CORRECTION  diagnostics, engine fault detected, repair calculation, engine replacement, 
programming, engine test, driving test","[('CAUSE', 'ORG')]"
PARTICULATE TRAP,DEFECT,CATALYTIC SILENCER,1.0,2127.252009,"COMPLAIN  Illuminates for fault on DPF
The car is running in emergency mode CAUSE  Error on particle filter, does not work  CORRECTION Readout and deletion of errors on the DPF
Delta P sensor and hoses removed and installed.
Regeneration done
2 guided procedures followed = economy
Particulate filter replaced.","[('COMPLAIN  Illuminates', 'ORG'), ('DPF', 'ORG'), ('CAUSE  Error', 'ORG'), ('CORRECTION Readout', 'PERSON'), ('DPF', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('2', 'CARDINAL'), ('Particulate', 'ORG')]"
LOCK,DEFECTIVE CONTACTS,DOOR LOCK,0.0,80.41,"COMPLAINT  Driver's door sometimes does not work with central locking (sometimes works 
not open/close, have to press key several times) CAUSE  bad contact on lock  CORRECTION door lock dismantled + control/cleaning of contacts door lock","[('COMPLAINT', 'ORG'), ('Driver', 'ORG'), ('CORRECTION', 'PERSON')]"
ANS 24 HOURS,MISCELLANEOUS,RUBBER SLEEVE,0.0,148.557692,"REKL  Drive from Rudolfstetten to Tony Besserer AG in Nesselbach. vehicle 
load up and transfer to Rudolfstetten.
km total: 26 REASON  Drive from Rudolfstetten to Tony Besserer AG in Nesselbach. vehicle 
load up and transfer to Rudolfstetten.
km total: 26 CORRECTION  Drive from Rudolfstetten to Tony Besserer AG in Nesselbach. vehicle 
load up and transfer to Rudolfstetten.
km total: 26","[('Rudolfstetten', 'PERSON'), ('Tony Besserer AG', 'ORG'), ('Nesselbach', 'GPE'), ('Rudolfstetten', 'PERSON'), ('26', 'CARDINAL'), ('Rudolfstetten', 'PERSON'), ('Tony Besserer AG', 'ORG'), ('Nesselbach', 'GPE'), ('Rudolfstetten', 'PERSON'), ('26', 'CARDINAL'), ('Rudolfstetten', 'PERSON'), ('Tony Besserer AG', 'ORG'), ('Nesselbach', 'GPE'), ('Rudolfstetten', 'PERSON'), ('26', 'CARDINAL')]"
